OID_,uniqueID,ZONE_CODE,COUNT,AREA,MEDIAN
1,2,2,25.000000000000000,0.000001116578694,0.878504672897196
2,3,3,26.000000000000000,0.000001161241841,0.878504672897196
3,4,4,27.000000000000000,0.000001205904989,0.878504672897196
4,5,5,26.000000000000000,0.000001161241841,0.878504672897196
5,6,6,27.000000000000000,0.000001205904989,0.773967459324155
6,7,7,28.000000000000000,0.000001250568137,0.773967459324155
7,8,8,33.000000000000000,0.000001473883875,0.773967459324155
8,9,9,35.000000000000000,0.000001563210171,0.773967459324155
9,10,10,35.000000000000000,0.000001563210171,0.773967459324155
10,11,11,36.000000000000000,0.000001607873319,0.845319405383688
11,12,12,36.000000000000000,0.000001607873319,0.845319405383688
12,13,13,38.000000000000000,0.000001697199614,0.845319405383688
13,14,14,42.000000000000000,0.000001875852205,0.845319405383688
14,15,15,34.000000000000000,0.000001518547023,0.845319405383688
15,16,16,35.000000000000000,0.000001563210171,0.915269804822044
16,17,17,36.000000000000000,0.000001607873319,0.915269804822044
17,18,18,36.000000000000000,0.000001607873319,0.915269804822044
18,19,19,41.000000000000000,0.000001831189057,0.887691237830320
19,20,20,43.000000000000000,0.000001920515353,0.887691237830320
20,21,21,44.000000000000000,0.000001965178501,0.887691237830320
21,22,22,45.000000000000000,0.000002009841648,0.887691237830320
22,23,23,46.000000000000000,0.000002054504796,0.887691237830320
23,24,24,46.000000000000000,0.000002054504796,0.887691237830320
24,25,25,17.000000000000000,0.000000759273512,0.878504672897196
25,26,26,76.000000000000000,0.000003394399228,0.878504672897196
26,27,27,77.000000000000000,0.000003439062376,0.878504672897196
27,28,28,77.000000000000000,0.000003439062376,0.878504672897196
28,29,29,79.000000000000000,0.000003528388672,0.878504672897196
29,30,30,78.000000000000000,0.000003483725524,0.773967459324155
30,31,31,84.000000000000000,0.000003751704410,0.773967459324155
31,32,32,83.000000000000000,0.000003707041263,0.773967459324155
32,33,33,83.000000000000000,0.000003707041263,0.773967459324155
33,34,34,83.000000000000000,0.000003707041263,0.773967459324155
34,35,35,84.000000000000000,0.000003751704410,0.845319405383688
35,36,36,85.000000000000000,0.000003796367558,0.845319405383688
36,37,37,89.000000000000000,0.000003975020149,0.845319405383688
37,38,38,85.000000000000000,0.000003796367558,0.845319405383688
38,39,39,83.000000000000000,0.000003707041263,0.915269804822044
39,40,40,83.000000000000000,0.000003707041263,0.915269804822044
40,41,41,84.000000000000000,0.000003751704410,0.915269804822044
41,42,42,85.000000000000000,0.000003796367558,0.915269804822044
42,43,43,89.000000000000000,0.000003975020149,0.887691237830320
43,44,44,89.000000000000000,0.000003975020149,0.887691237830320
44,45,45,88.000000000000000,0.000003930357001,0.887691237830320
45,46,46,89.000000000000000,0.000003975020149,0.887691237830320
46,47,47,89.000000000000000,0.000003975020149,0.887691237830320
47,48,48,44.000000000000000,0.000001965178501,0.887691237830320
48,49,49,89.000000000000000,0.000003975020149,0.878504672897196
49,50,50,90.000000000000000,0.000004019683297,0.878504672897196
50,51,51,90.000000000000000,0.000004019683297,0.878504672897196
51,52,52,89.000000000000000,0.000003975020149,0.878504672897196
52,53,53,89.000000000000000,0.000003975020149,0.773967459324155
53,54,54,92.000000000000000,0.000004109009592,0.773967459324155
54,55,55,89.000000000000000,0.000003975020149,0.773967459324155
55,56,56,90.000000000000000,0.000004019683297,0.773967459324155
56,57,57,90.000000000000000,0.000004019683297,0.773967459324155
57,58,58,89.000000000000000,0.000003975020149,0.845319405383688
58,59,59,89.000000000000000,0.000003975020149,0.845319405383688
59,60,60,94.000000000000000,0.000004198335888,0.845319405383688
60,61,61,89.000000000000000,0.000003975020149,0.845319405383688
61,62,62,91.000000000000000,0.000004064346444,0.845319405383688
62,63,63,90.000000000000000,0.000004019683297,0.915269804822044
63,64,64,89.000000000000000,0.000003975020149,0.915269804822044
64,65,65,88.000000000000000,0.000003930357001,0.915269804822044
65,66,66,91.000000000000000,0.000004064346444,0.915269804822044
66,67,67,89.000000000000000,0.000003975020149,0.887691237830320
67,68,68,90.000000000000000,0.000004019683297,0.887691237830320
68,69,69,90.000000000000000,0.000004019683297,0.887691237830320
69,70,70,89.000000000000000,0.000003975020149,0.887691237830320
70,71,71,89.000000000000000,0.000003975020149,0.887691237830320
71,72,72,17.000000000000000,0.000000759273512,0.878504672897196
72,73,73,88.000000000000000,0.000003930357001,0.878504672897196
73,74,74,88.000000000000000,0.000003930357001,0.878504672897196
74,75,75,89.000000000000000,0.000003975020149,0.878504672897196
75,76,76,90.000000000000000,0.000004019683297,0.878504672897196
76,77,77,89.000000000000000,0.000003975020149,0.773967459324155
77,78,78,90.000000000000000,0.000004019683297,0.773967459324155
78,79,79,88.000000000000000,0.000003930357001,0.773967459324155
79,80,80,88.000000000000000,0.000003930357001,0.773967459324155
80,81,81,89.000000000000000,0.000003975020149,0.773967459324155
81,82,82,90.000000000000000,0.000004019683297,0.845319405383688
82,83,83,90.000000000000000,0.000004019683297,0.845319405383688
83,84,84,89.000000000000000,0.000003975020149,0.845319405383688
84,85,85,88.000000000000000,0.000003930357001,0.845319405383688
85,86,86,88.000000000000000,0.000003930357001,0.915269804822044
86,87,87,89.000000000000000,0.000003975020149,0.915269804822044
87,88,88,91.000000000000000,0.000004064346444,0.915269804822044
88,89,89,93.000000000000000,0.000004153672740,0.915269804822044
89,90,90,89.000000000000000,0.000003975020149,0.887691237830320
90,91,91,88.000000000000000,0.000003930357001,0.887691237830320
91,92,92,88.000000000000000,0.000003930357001,0.887691237830320
92,93,93,88.000000000000000,0.000003930357001,0.887691237830320
